City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Bernalillo,US,2022-10-13 06:52:37,35.05,-106.6673,62.51,30,0,3.87
97,Nabire,ID,2022-10-13 06:52:38,-3.3667,135.4833,78.19,89,100,6.11
98,Khandagayty,RU,2022-10-13 06:52:38,50.7333,92.05,49.6,29,13,17.92
99,Drayton Valley,CA,2022-10-13 06:52:39,53.2168,-114.9854,40.35,65,9,5.06
100,Aljezur,PT,2022-10-13 06:52:39,37.3191,-8.8033,64.6,67,5,4.25
101,San Patricio,US,2022-10-13 06:52:40,28.017,-97.5169,82.26,83,0,5.23
102,Esil,KZ,2022-10-13 06:52:40,51.9556,66.4042,61.56,22,93,14.74
103,Lasa,IT,2022-10-13 06:52:41,46.6166,10.7002,51.69,75,16,1.1
104,Beringovskiy,RU,2022-10-13 06:52:42,63.05,179.3167,30.65,66,83,8.43
105,Isiro,CD,2022-10-13 06:52:42,2.7739,27.616,77.81,67,95,3.49
106,Saint George,US,2022-10-13 06:52:12,37.1041,-113.5841,70.39,24,0,3.44
107,Lincoln,US,2022-10-13 06:50:28,40.8,-96.667,51.87,46,0,12.66
108,Port Lincoln,AU,2022-10-13 06:52:43,-34.7333,135.8667,57.38,72,29,25.08
109,Cascais,PT,2022-10-13 06:52:43,38.6979,-9.4215,62.94,95,20,14.0
110,Pisco,PE,2022-10-13 06:52:44,-13.7,-76.2167,58.01,82,0,3.44
111,Arraial Do Cabo,BR,2022-10-13 06:52:45,-22.9661,-42.0278,70.9,91,99,9.42
112,Xian,CN,2022-10-13 06:52:45,34.2583,108.9286,59.81,43,97,4.76
113,Todos Santos,MX,2022-10-13 06:52:46,23.45,-110.2167,75.65,84,0,5.37
114,Ponta Do Sol,PT,2022-10-13 06:52:47,32.6667,-17.1,72.01,77,67,5.48
115,Victor Harbor,AU,2022-10-13 06:52:47,-35.5667,138.6167,60.01,76,74,3.0
116,Dasoguz,TM,2022-10-13 06:52:48,41.8363,59.9666,66.15,27,0,16.11
117,South Sioux City,US,2022-10-13 06:52:48,42.4739,-96.4136,47.19,49,5,7.0
118,Saint Pete Beach,US,2022-10-13 06:52:49,27.7253,-82.7412,77.02,78,20,6.91
119,Faya,SA,2022-10-13 06:52:49,18.3851,42.4509,68.52,13,7,7.18
120,Iqaluit,CA,2022-10-13 06:52:50,63.7506,-68.5145,19.13,79,75,6.91
121,Price,US,2022-10-13 06:52:51,39.5994,-110.8107,58.26,28,0,5.75
122,Rostovka,RU,2022-10-13 06:52:52,55.3842,71.8891,52.11,53,90,12.1
123,Georgetown,MY,2022-10-13 06:51:46,5.4112,100.3354,82.89,77,40,5.99
124,Port Augusta,AU,2022-10-13 06:52:53,-32.5,137.7667,65.43,46,31,19.69
125,Lorengau,PG,2022-10-13 06:52:53,-2.0226,147.2712,84.0,62,99,4.97
126,Ribeira Grande,PT,2022-10-13 06:52:54,38.5167,-28.7,72.77,78,75,14.97
127,Tevaitoa,PF,2022-10-13 06:52:54,-16.7833,-151.5,77.92,80,24,20.58
128,Nuevo Progreso,MX,2022-10-13 06:52:54,23.1667,-97.95,76.46,80,100,5.46
129,Saskylakh,RU,2022-10-13 06:52:55,71.9167,114.0833,23.65,95,94,9.28
130,Nemuro,JP,2022-10-13 06:49:53,43.3236,145.575,56.26,72,84,13.38
131,Caconda,AO,2022-10-13 06:52:56,-13.7333,15.0667,72.72,46,100,4.05
132,Albany,US,2022-10-13 06:48:43,42.6001,-73.9662,58.23,83,100,6.22
133,Palmer,US,2022-10-13 06:52:56,42.1584,-72.3287,58.24,90,0,0.0
134,Port Elizabeth,ZA,2022-10-13 06:52:57,-33.918,25.5701,73.31,87,100,9.22
135,Yilan,TW,2022-10-13 06:52:57,24.757,121.753,79.36,99,100,3.49
136,Matelandia,BR,2022-10-13 06:52:58,-25.2408,-53.9964,58.66,98,19,3.29
137,Estacion Coahuila,MX,2022-10-13 06:52:59,32.1939,-115.0017,83.98,34,0,7.23
138,Acarau,BR,2022-10-13 06:52:59,-2.8856,-40.12,78.37,82,19,19.06
139,Mnogovershinnyy,RU,2022-10-13 06:53:00,53.9353,139.9242,38.84,80,45,6.29
140,Ostrovnoy,RU,2022-10-13 06:53:00,68.0531,39.5131,39.9,81,18,12.93
141,Moba,CN,2022-10-13 06:54:01,33.2288,105.0179,46.53,85,100,2.82
142,Mar Del Plata,AR,2022-10-13 06:54:01,-38.0023,-57.5575,51.82,76,100,25.32
143,Souris,CA,2022-10-13 06:54:02,49.6172,-100.2612,33.66,44,54,19.82
144,Taveta,KE,2022-10-13 06:54:02,-3.3963,37.6736,75.38,50,65,7.72
145,Show Low,US,2022-10-13 06:51:30,34.2542,-110.0298,57.15,59,0,3.44
146,Omsukchan,RU,2022-10-13 06:54:03,62.5333,155.8,12.99,88,100,1.92
147,Vilyuysk,RU,2022-10-13 06:54:04,63.7553,121.6247,34.23,99,100,4.65
148,Chernaya Kholunitsa,RU,2022-10-13 06:54:05,58.8511,51.7154,44.53,97,100,2.35
149,Kodiak,US,2022-10-13 06:54:05,57.79,-152.4072,33.93,73,4,7.96
150,Shelburne,CA,2022-10-13 06:54:07,44.0787,-80.2041,57.76,95,100,6.24
151,Balikpapan,ID,2022-10-13 06:54:09,-1.2675,116.8289,83.39,79,20,4.61
152,Carbonia,IT,2022-10-13 06:54:11,39.1672,8.5222,64.0,83,67,5.68
153,Ostersund,SE,2022-10-13 06:54:11,63.1792,14.6357,45.05,87,0,10.36
154,Phonhong,LA,2022-10-13 06:54:12,18.5007,102.4166,86.41,55,80,3.47
155,Aswan,EG,2022-10-13 06:54:12,24.0934,32.907,78.1,41,0,10.36
156,Marawi,PH,2022-10-13 06:54:13,7.9986,124.2928,77.83,82,100,1.95
157,Clinton,US,2022-10-13 06:53:08,42.587,-82.9199,52.12,85,75,9.22
158,Axim,GH,2022-10-13 06:54:14,4.8699,-2.2405,77.29,86,64,8.25
159,Lebu,CL,2022-10-13 06:54:14,-37.6167,-73.65,44.33,73,1,14.56
160,Lishui,CN,2022-10-13 06:54:15,28.4604,119.9103,76.55,44,3,5.01
161,Neiafu,TO,2022-10-13 06:54:15,-18.65,-173.9833,79.48,89,20,0.0
162,Paamiut,GL,2022-10-13 06:54:16,61.994,-49.6678,22.28,49,0,7.54
163,Wadi Musa,JO,2022-10-13 06:54:16,30.3222,35.4793,63.25,72,4,4.97
164,Daru,PG,2022-10-13 06:54:17,-9.0763,143.2092,82.17,78,100,11.56
165,Kattivakkam,IN,2022-10-13 06:54:17,13.2167,80.3167,89.69,65,95,8.46
166,Tukrah,LY,2022-10-13 06:54:17,32.5341,20.5791,77.18,43,0,1.86
167,Khatanga,RU,2022-10-13 06:54:18,71.9667,102.5,18.23,94,89,6.62
168,Norwich,GB,2022-10-13 06:49:20,52.6278,1.2983,53.37,92,0,3.44
169,Kudahuvadhoo,MV,2022-10-13 06:54:18,2.6708,72.8944,78.93,82,100,15.37
170,Luderitz,NA,2022-10-13 06:54:19,-26.6481,15.1594,63.66,75,8,7.09
171,Sembe,CG,2022-10-13 06:54:19,1.6481,14.5806,74.12,95,100,0.67
172,Tuatapere,NZ,2022-10-13 06:50:11,-46.1333,167.6833,46.26,78,2,3.85
173,Tiksi,RU,2022-10-13 06:54:20,71.6872,128.8694,22.01,89,100,4.83
174,Okha,RU,2022-10-13 06:54:20,53.5739,142.9478,45.09,72,98,9.4
175,Kroya,ID,2022-10-13 06:54:21,-7.6331,109.2461,80.87,76,100,11.18
176,Robertsport,LR,2022-10-13 06:54:21,6.7533,-11.3686,74.44,91,100,5.37
