City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Tual,ID,83.68,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
581,Kasane,BW,86.09,clear sky,-17.8167,25.15,The Old House
583,Matay,EG,78.1,clear sky,28.419,30.7792,Nag Aespen
584,Progreso,MX,77.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
587,Bambanglipuro,ID,80.47,overcast clouds,-7.95,110.2833,Puri Brata
588,Boa Vista,BR,75.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
590,Kavaratti,IN,81.59,broken clouds,10.5669,72.642,Green leaf
593,Bodden Town,KY,80.92,scattered clouds,19.2833,-81.25,Will T Place
595,Gat,IL,80.4,broken clouds,31.61,34.7642,OlusHome
597,Hwange,ZW,88.48,broken clouds,-18.3693,26.5019,Hwange Colliery Guest House
599,Giyani,ZA,89.62,few clouds,-23.3025,30.7187,Kulani Country Lodge
600,Bam,IR,86.36,clear sky,29.106,58.357,Bam Tourist Hotel
604,Mahibadhoo,MV,79.41,overcast clouds,3.7833,72.9667,Omadhoo Inn
607,Naze,JP,77.92,few clouds,28.3667,129.4833,Shishime Hotel
608,Nusaybin,TR,81.99,few clouds,37.0778,41.2178,Aydinlar Hotel
612,Barberton,ZA,82.45,broken clouds,-25.7884,31.0532,Barberton B&B
613,Lamu,KE,84.42,broken clouds,-2.2717,40.902,Lamu House
616,Manuangan,PH,84.11,overcast clouds,7.2769,124.4044,Deejay's Inn & Cafe
618,Mehtar Lam,AF,80.15,clear sky,34.6714,70.2094,Fareed Hakamani
619,Chandil,IN,85.8,broken clouds,22.9667,86.05,Lambu Hotel
620,Baracoa,CU,78.91,broken clouds,20.3467,-74.4958,Hostal Rio Miel
622,Linguere,SN,81.0,broken clouds,15.3953,-15.1193,AYO Casablanca
628,Ambovombe,MG,83.98,clear sky,-25.1667,46.0833,RELAHARA
632,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
634,Perbaungan,ID,82.51,overcast clouds,3.5679,98.956,Hotel Bidadari
639,Birjand,IR,84.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
641,Balabac,PH,83.93,few clouds,7.9868,117.0645,Batalla’s Lodging House
644,Calvinia,ZA,84.33,clear sky,-31.4707,19.776,Die Lemoenhuis
648,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
649,Abu Kamal,SY,86.92,clear sky,34.4506,40.9171,البوكمال
651,Harper,LR,78.53,broken clouds,4.375,-7.7169,Screensaver
652,Chodavaram,IN,87.64,scattered clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
654,Mungwi,ZM,79.93,clear sky,-10.1732,31.3694,Ilamfya Guest House
655,Lufilufi,WS,78.58,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
657,Impfondo,CG,82.87,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
659,Bilma,NE,87.6,clear sky,18.6853,12.9164,Expeditions Ténére voyages
663,Betul,IN,81.01,scattered clouds,21.9153,77.8961,STARiHotel Betul MP
664,Barabai,ID,84.92,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
671,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
673,Tahta,EG,83.57,clear sky,26.7693,31.5021,فندق الزيات
675,Bengkulu,ID,75.79,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
678,Trincomalee,LK,82.6,few clouds,8.5711,81.2335,Welcombe Hotel
682,Kiunga,PG,75.02,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
