City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Coihaique,CL,-45.5752,-72.0662,34.41,64,0,2.3,clear sky
122,Hofn,IS,64.2539,-15.2082,37.42,81,75,8.05,broken clouds
123,Strezhevoy,RU,60.7333,77.5889,44.24,64,20,5.79,few clouds
124,Tuatapere,NZ,-46.1333,167.6833,43.18,86,2,3.85,clear sky
125,Pevek,RU,69.7008,170.3133,19.56,78,100,7.34,overcast clouds
126,Zhezkazgan,KZ,47.8043,67.7144,62.58,22,0,4.47,clear sky
127,Clyde River,CA,70.4692,-68.5914,14.4,85,74,5.23,broken clouds
128,Gilgit,PK,35.9221,74.3087,67.84,40,25,1.77,scattered clouds
129,Faya,SA,18.3851,42.4509,72.12,12,5,5.21,clear sky
130,Dingle,PH,10.9995,122.6711,82.96,83,100,5.08,heavy intensity rain
131,Mwene-Ditu,CD,-7.0,23.45,85.42,45,38,2.59,scattered clouds
132,Asfi,MA,32.2994,-9.2372,68.79,87,0,8.34,clear sky
133,Hamilton,US,39.1834,-84.5333,60.89,87,75,10.36,broken clouds
134,Puqi,CN,29.7167,113.8833,75.07,32,1,7.52,clear sky
135,Calbuco,CL,-41.768,-73.1273,31.21,69,24,6.17,few clouds
136,Talladega,US,33.4359,-86.1058,62.71,97,100,0.0,thunderstorm with rain
137,Burgkirchen,AT,48.2044,13.0999,57.09,96,11,0.89,few clouds
138,Lata,PT,40.1629,-8.3327,60.08,84,100,1.88,overcast clouds
139,Altar,MX,30.7,-111.8167,77.38,52,85,3.53,overcast clouds
140,Seddon,AU,-37.8068,144.8916,60.21,91,75,8.05,moderate rain
141,Mount Isa,AU,-20.7333,139.5,94.77,26,100,12.66,overcast clouds
142,Sault Sainte Marie,CA,46.5168,-84.3333,45.16,96,100,3.44,mist
143,Ahome,MX,25.9167,-109.1833,76.05,71,0,3.67,clear sky
144,Nabari,JP,34.6167,136.0833,71.29,87,100,4.18,overcast clouds
145,Batemans Bay,AU,-35.7167,150.1833,63.1,79,100,13.31,light rain
